funcid,dim,milestone,error
9,10,1,3.247151e+03
9,10,2,2.280563e+03
9,10,3,1.580222e+03
9,10,5,2.475709e+02
9,10,10,2.808149e+01
9,10,20,2.808149e+01
9,10,30,2.808149e+01
9,10,40,1.757708e+01
9,10,50,1.757708e+01
9,10,60,3.804144e+00
9,10,70,5.243840e-01
9,10,80,3.258555e-02
9,10,90,3.258555e-02
9,10,100,3.258555e-02
9,10,1,1.845426e+03
9,10,2,1.845426e+03
9,10,3,1.845426e+03
9,10,5,4.275652e+02
9,10,10,1.985092e+01
9,10,20,1.388265e+01
9,10,30,1.388265e+01
9,10,40,5.921741e+00
9,10,50,2.284174e+00
9,10,60,2.089149e+00
9,10,70,2.320651e-01
9,10,80,2.320651e-01
9,10,90,1.705735e-01
9,10,100,1.705735e-01
9,10,1,1.853587e+03
9,10,2,9.949613e+02
9,10,3,9.949613e+02
9,10,5,1.271741e+02
9,10,10,3.111775e+01
9,10,20,2.058265e+01
9,10,30,2.058265e+01
9,10,40,8.610983e+00
9,10,50,8.610983e+00
9,10,60,1.089024e+00
9,10,70,1.736185e-01
9,10,80,1.736185e-01
9,10,90,1.736185e-01
9,10,100,1.736185e-01
9,10,1,3.158792e+03
9,10,2,2.798352e+03
9,10,3,2.699404e+03
9,10,5,9.351789e+01
9,10,10,1.613428e+01
9,10,20,1.613428e+01
9,10,30,1.613428e+01
9,10,40,1.613428e+01
9,10,50,1.603742e+01
9,10,60,5.840483e-01
9,10,70,1.134422e-01
9,10,80,1.134422e-01
9,10,90,1.134422e-01
9,10,100,1.134422e-01
9,10,1,1.419285e+03
9,10,2,1.412202e+03
9,10,3,1.412202e+03
9,10,5,1.070596e+02
9,10,10,2.135198e+01
9,10,20,2.081135e+01
9,10,30,2.081135e+01
9,10,40,2.025442e+01
9,10,50,7.909604e+00
9,10,60,9.211983e-01
9,10,70,2.135219e-01
9,10,80,2.135219e-01
9,10,90,2.135219e-01
9,10,100,2.135219e-01
