funcid,dim,milestone,error
15,10,1,2.303702e+04
15,10,2,2.240281e+04
15,10,3,2.240281e+04
15,10,5,1.937607e+04
15,10,10,2.834247e+03
15,10,20,2.771449e+03
15,10,30,1.026765e+03
15,10,40,1.013161e+03
15,10,50,1.005063e+03
15,10,60,1.003423e+03
15,10,70,1.002253e+03
15,10,80,1.002244e+03
15,10,90,9.935405e+02
15,10,100,9.935405e+02
15,10,1,3.869284e+03
15,10,2,2.855644e+03
15,10,3,2.464933e+03
15,10,5,2.236299e+03
15,10,10,1.518457e+03
15,10,20,1.505882e+03
15,10,30,1.420434e+03
15,10,40,1.418139e+03
15,10,50,1.402594e+03
15,10,60,1.402594e+03
15,10,70,1.402594e+03
15,10,80,1.402594e+03
15,10,90,1.402594e+03
15,10,100,1.398694e+03
15,10,1,1.534071e+04
15,10,2,2.262076e+03
15,10,3,1.986516e+03
15,10,5,1.907520e+03
15,10,10,1.650811e+03
15,10,20,1.650811e+03
15,10,30,1.650811e+03
15,10,40,1.650811e+03
15,10,50,8.667137e+02
15,10,60,5.433106e+02
15,10,70,5.315052e+02
15,10,80,4.883614e+02
15,10,90,4.883614e+02
15,10,100,4.883614e+02
15,10,1,6.717329e+03
15,10,2,1.143827e+03
15,10,3,6.732425e+02
15,10,5,3.123545e+02
15,10,10,1.828978e+02
15,10,20,9.897186e+01
15,10,30,9.897186e+01
15,10,40,9.897186e+01
15,10,50,9.897186e+01
15,10,60,9.897186e+01
15,10,70,9.897186e+01
15,10,80,9.897186e+01
15,10,90,9.897186e+01
15,10,100,9.897186e+01
15,10,1,9.431952e+03
15,10,2,4.197009e+03
15,10,3,1.741153e+03
15,10,5,1.505154e+03
15,10,10,1.301220e+03
15,10,20,1.107185e+03
15,10,30,7.902254e+02
15,10,40,7.902254e+02
15,10,50,7.902254e+02
15,10,60,7.902254e+02
15,10,70,7.902254e+02
15,10,80,7.902254e+02
15,10,90,7.902254e+02
15,10,100,7.902254e+02
