funcid,dim,milestone,error
28,10,1,6.865334e+02
28,10,2,6.258452e+02
28,10,3,6.140549e+02
28,10,5,5.945253e+02
28,10,10,5.837419e+02
28,10,20,5.837358e+02
28,10,30,5.837358e+02
28,10,40,5.837354e+02
28,10,50,5.837352e+02
28,10,60,5.837352e+02
28,10,70,5.837349e+02
28,10,80,5.837347e+02
28,10,90,5.837347e+02
28,10,100,5.837347e+02
28,10,1,6.986754e+02
28,10,2,5.529700e+02
28,10,3,5.216160e+02
28,10,5,3.041427e+02
28,10,10,3.030653e+02
28,10,20,3.002559e+02
28,10,30,3.001495e+02
28,10,40,3.000346e+02
28,10,50,3.000095e+02
28,10,60,3.000095e+02
28,10,70,3.000095e+02
28,10,80,3.000095e+02
28,10,90,3.000095e+02
28,10,100,3.000071e+02
28,10,1,7.649364e+02
28,10,2,6.862251e+02
28,10,3,6.638652e+02
28,10,5,6.467082e+02
28,10,10,6.464975e+02
28,10,20,6.464900e+02
28,10,30,6.464849e+02
28,10,40,6.464834e+02
28,10,50,6.464808e+02
28,10,60,6.464808e+02
28,10,70,6.464808e+02
28,10,80,6.464808e+02
28,10,90,6.464808e+02
28,10,100,6.464808e+02
28,10,1,7.962031e+02
28,10,2,6.805181e+02
28,10,3,6.637271e+02
28,10,5,6.030684e+02
28,10,10,5.837938e+02
28,10,20,5.837524e+02
28,10,30,5.837496e+02
28,10,40,5.837458e+02
28,10,50,5.837456e+02
28,10,60,5.837456e+02
28,10,70,5.837456e+02
28,10,80,5.837456e+02
28,10,90,5.837456e+02
28,10,100,5.837455e+02
28,10,1,6.869879e+02
28,10,2,6.410032e+02
28,10,3,6.367209e+02
28,10,5,6.183527e+02
28,10,10,6.118901e+02
28,10,20,6.118400e+02
28,10,30,6.118225e+02
28,10,40,6.118225e+02
28,10,50,6.118225e+02
28,10,60,6.118225e+02
28,10,70,6.118225e+02
28,10,80,6.118225e+02
28,10,90,6.118225e+02
28,10,100,6.118225e+02
