funcid,dim,milestone,error
18,10,1,8.809587e+06
18,10,2,8.809587e+06
18,10,3,1.493776e+06
18,10,5,1.312699e+04
18,10,10,2.749387e+03
18,10,20,2.321684e+03
18,10,30,9.322730e+02
18,10,40,7.319987e+02
18,10,50,7.319987e+02
18,10,60,5.646718e+02
18,10,70,3.731695e+02
18,10,80,1.843448e+02
18,10,90,1.434424e+02
18,10,100,1.364161e+02
18,10,1,1.892187e+07
18,10,2,1.892187e+07
18,10,3,8.391076e+05
18,10,5,1.333159e+04
18,10,10,9.574466e+03
18,10,20,1.652219e+03
18,10,30,1.652219e+03
18,10,40,2.794650e+02
18,10,50,2.794650e+02
18,10,60,2.662257e+02
18,10,70,2.662257e+02
18,10,80,2.662257e+02
18,10,90,2.662257e+02
18,10,100,2.662257e+02
18,10,1,3.278839e+07
18,10,2,3.278839e+07
18,10,3,4.375547e+04
18,10,5,2.069197e+04
18,10,10,1.885019e+04
18,10,20,3.347708e+02
18,10,30,3.347708e+02
18,10,40,3.347708e+02
18,10,50,3.347708e+02
18,10,60,2.144814e+02
18,10,70,2.936235e+01
18,10,80,2.862643e+01
18,10,90,2.862643e+01
18,10,100,2.862643e+01
18,10,1,3.627981e+07
18,10,2,3.627981e+07
18,10,3,6.989618e+05
18,10,5,3.075215e+04
18,10,10,4.046532e+03
18,10,20,3.490568e+03
18,10,30,1.488026e+03
18,10,40,1.488026e+03
18,10,50,1.488026e+03
18,10,60,1.433829e+03
18,10,70,1.312723e+03
18,10,80,1.286708e+03
18,10,90,1.286708e+03
18,10,100,1.286708e+03
18,10,1,1.688282e+07
18,10,2,5.331607e+06
18,10,3,2.752794e+05
18,10,5,2.880886e+04
18,10,10,4.585090e+03
18,10,20,8.941410e+02
18,10,30,8.941410e+02
18,10,40,8.941410e+02
18,10,50,8.941410e+02
18,10,60,7.408067e+02
18,10,70,5.466404e+02
18,10,80,5.445894e+02
18,10,90,5.331072e+02
18,10,100,5.330907e+02
