funcid,dim,milestone,error
23,30,1,6.666379e+02
23,30,2,5.493993e+02
23,30,3,5.090018e+02
23,30,5,5.025150e+02
23,30,10,4.992120e+02
23,30,20,4.838613e+02
23,30,30,4.651669e+02
23,30,40,4.406162e+02
23,30,50,4.144684e+02
23,30,60,4.035060e+02
23,30,70,3.987243e+02
23,30,80,3.987243e+02
23,30,90,3.987243e+02
23,30,100,3.987243e+02
23,30,1,7.260303e+02
23,30,2,5.364276e+02
23,30,3,4.745269e+02
23,30,5,4.472620e+02
23,30,10,4.472620e+02
23,30,20,4.472620e+02
23,30,30,4.472620e+02
23,30,40,4.283122e+02
23,30,50,4.152308e+02
23,30,60,4.152308e+02
23,30,70,4.096898e+02
23,30,80,4.096898e+02
23,30,90,4.096898e+02
23,30,100,4.096898e+02
23,30,1,6.793080e+02
23,30,2,5.899427e+02
23,30,3,5.152722e+02
23,30,5,4.872102e+02
23,30,10,4.837592e+02
23,30,20,4.656955e+02
23,30,30,4.573497e+02
23,30,40,4.560253e+02
23,30,50,4.560253e+02
23,30,60,4.560253e+02
23,30,70,4.560253e+02
23,30,80,4.560253e+02
23,30,90,4.560253e+02
23,30,100,4.560253e+02
23,30,1,6.660478e+02
23,30,2,5.384978e+02
23,30,3,4.627198e+02
23,30,5,4.302015e+02
23,30,10,4.280902e+02
23,30,20,4.279571e+02
23,30,30,4.279571e+02
23,30,40,4.279571e+02
23,30,50,4.279571e+02
23,30,60,4.279571e+02
23,30,70,4.279571e+02
23,30,80,4.279571e+02
23,30,90,4.279571e+02
23,30,100,4.279571e+02
23,30,1,5.703568e+02
23,30,2,4.924276e+02
23,30,3,4.553688e+02
23,30,5,4.482985e+02
23,30,10,4.472943e+02
23,30,20,4.472652e+02
23,30,30,4.472652e+02
23,30,40,4.472652e+02
23,30,50,4.472652e+02
23,30,60,4.472652e+02
23,30,70,4.472652e+02
23,30,80,4.472652e+02
23,30,90,4.472652e+02
23,30,100,4.472652e+02
