funcid,dim,milestone,error
2,30,1,6.803150e+31
2,30,2,1.003685e+26
2,30,3,7.848799e+23
2,30,5,5.095197e+19
2,30,10,7.893142e+13
2,30,20,2.054042e+08
2,30,30,3.945000e+03
2,30,40,1.055000e+03
2,30,50,1.700000e+01
2,30,60,1.000000e+01
2,30,70,3.000000e+00
2,30,80,0.000000e+00
2,30,90,0.000000e+00
2,30,100,0.000000e+00
2,30,1,1.778818e+30
2,30,2,1.088604e+27
2,30,3,2.190465e+24
2,30,5,3.046385e+21
2,30,10,3.734742e+14
2,30,20,1.011713e+10
2,30,30,8.620000e+02
2,30,40,2.530000e+02
2,30,50,1.000000e+01
2,30,60,4.000000e+00
2,30,70,4.000000e+00
2,30,80,2.000000e+00
2,30,90,2.000000e+00
2,30,100,1.000000e+00
2,30,1,3.922999e+31
2,30,2,6.916574e+25
2,30,3,1.336841e+23
2,30,5,9.785704e+17
2,30,10,2.837155e+15
2,30,20,6.886533e+11
2,30,30,2.276263e+06
2,30,40,8.600000e+01
2,30,50,5.800000e+01
2,30,60,5.300000e+01
2,30,70,4.700000e+01
2,30,80,4.300000e+01
2,30,90,4.200000e+01
2,30,100,4.200000e+01
